=== Station detector report ===
sampling_frequency (Hz),num_detectors,time (ms),records_total,samples_total,samples_template_waveform,length_template_waveform (s)
200.0,4,40532.5,9325,4325245,1201,6.005
200.0,4,46438.1,9325,4325245,1401,7.005
200.0,4,52428.9,9325,4325245,1601,8.005
200.0,4,59181.7,9325,4325245,1801,9.005
200.0,4,65252.6,9325,4325245,2001,10.005
200.0,4,97150.2,9325,4325245,3001,15.005
200.0,4,134922.0,9325,4325245,4001,20.005
200.0,8,30895.6,20162,8650486,401,2.005
200.0,8,42476.1,20162,8650486,601,3.005
200.0,8,55235.6,20162,8650486,801,4.005
200.0,8,68139.8,20162,8650486,1001,5.005
200.0,8,81421.5,20162,8650486,1201,6.005
200.0,8,92617.1,20162,8650486,1401,7.005
200.0,8,105156.0,20162,8650486,1601,8.005
200.0,8,118024.0,20162,8650486,1801,9.005
200.0,8,132900.0,20162,8650486,2001,10.005
200.0,8,195745.0,20162,8650486,3001,15.005
200.0,8,262136.0,20162,8650486,4001,20.005
